full_url,name,stars,price,address,lat,lon,features,rating_text,rating,mark,local,dist_local,dist_baikal,dist_aeroport,dist_railway,dist_beach,meal_type,dist_baikal_meters,url,number_reviews
https://101hotels.com/main/cities/sahyurta/baykal_miami_gostevoy_dom.html,Байкал Miami гостевой дом,,3600.0,"Сахюрта, Иркутская область Ольхонский район посёлок Сахюрта Переулок Степной 3а",53.01367,106.88028,['АВТОСТОЯНКА'],НОРМАЛЬНО,7.6,6.0,Сахюрта,500 м,,,,,,,baykal_miami_gostevoy_dom.html,0
https://101hotels.com/main/cities/sahyurta/dom_s_vidom_na_baykal.html,Дом с видом на Байкал,,3440.0,"Сахюрта, ул. Новоселов 12",53.01565,106.88216,['АВТОСТОЯНКА'],,,,Сахюрта,400 м,,,,,,,dom_s_vidom_na_baykal.html,0
https://101hotels.com/main/cities/buguldeyka/baical-camp.html,Гостевой дом Baical-camp,,3500.0,"Бугульдейка, ул. Пушкина, д. 15",52.537343,106.05802,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",ХОРОШО,8.1,16.0,Бугульдейка,2.4 км,862 м,,,,,862.0,baical-camp.html,1
https://101hotels.com/main/cities/sahyurta/gostevoy_dom_kurkut_baykal.html,Гостевой дом Куркут Байкал,,,"Сахюрта, Ольхонский район, д. Куркут 1",53.0323,106.82829,['АВТОСТОЯНКА'],,,,Сахюрта,3.6 км,,,,,,,gostevoy_dom_kurkut_baykal.html,0
https://101hotels.com/main/cities/sahyurta/gostevoy_dom_horoshiy.html,Гостевой дом Хороший,,31500.0,"Сахюрта, 24 улица Центральная",53.01681,106.88718,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'АВТОСТОЯНКА']",,,,Сахюрта,700 м,,,,,,,gostevoy_dom_horoshiy.html,0
https://101hotels.com/main/cities/sahyurta/gostevoy_dom_eskizi_baykala.html,Гостевой дом Эскизы Байкала,,3750.0,"Сахюрта, Unnamed Road",53.02257,106.86672,['АВТОСТОЯНКА'],ОЧЕНЬ ХОРОШО,9.1,12.0,Сахюрта,900 м,,,,,,,gostevoy_dom_eskizi_baykala.html,0
https://101hotels.com/main/cities/bolshoe_goloustnoe/gostevoy_dom_naran.html,Гостевой дом Наран,,1620.0,"Большое Голоустное, Байкальская, 1а-2",52.04095,105.41118,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ВЕРХОВАЯ ЕЗДА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,41.0,Большое Голоустное,300 м,,,,,,,gostevoy_dom_naran.html,0
https://101hotels.com/main/cities/bolshoe_goloustnoe/gostevoy_dom_podkova_na_beregu_baykala.html,Подкова,,7650.0,"Большое Голоустное, Новая 29",52.02841,105.40571,['АВТОСТОЯНКА'],,,,Большое Голоустное,1.2 км,,,,,,,gostevoy_dom_podkova_na_beregu_baykala.html,0
https://101hotels.com/main/cities/goryachinsk/baza_otdiha_viktoriya_2.html,"База отдыха ""Виктория""",,6500.0,"Горячинск, улица Шилкиных 10",52.98926,108.31294,"['ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",НОРМАЛЬНО,7.6,3.0,Горячинск,1.0 км,,,,,,,baza_otdiha_viktoriya_2.html,0
https://101hotels.com/main/cities/goryachinsk/semeyniy_dom_dlya_otdiha_1.html,Семейный дом для отдыха,,,"Горячинск, дачная 10 дачная",52.98635,108.31277,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",,,,Горячинск,900 м,,,,,,,semeyniy_dom_dlya_otdiha_1.html,0
